Clases,Caracteristica 1,Caracteristica 2,Caracteristica 3,Caracteristica 4,Caracteristica 5,Caracteristica 6,Caracteristica 7
2,0.00646058580606799,2.9025236887392397e-05,2.572046044156808e-07,3.8031775476973845e-07,1.1833062984176822e-13,2.047144593717286e-09,-1.2108974910626433e-14
2,0.006648420968295953,3.0911168263634636e-05,2.861877504795901e-07,4.1953990858441207e-07,1.4460009871572492e-13,2.3296933948858416e-09,-1.4976138093924585e-14
2,0.006638862779696724,3.094819362756404e-05,2.820439988125447e-07,4.179823761689664e-07,1.428506176016243e-13,2.32275090009953e-09,-1.3786780705496643e-14
3,0.006141837215805971,2.6026253287787104e-05,1.8803196992264214e-07,3.101674541966597e-07,7.468815279904153e-14,1.5781832336173966e-09,-5.694100427237397e-15
3,0.006645810063021823,3.057857038991418e-05,2.4832466803185303e-07,4.0215580669438165e-07,1.267098056859698e-13,2.2176723871992264e-09,-9.785421999231251e-15
3,0.004987903701457963,1.7844324600620465e-05,1.1083147545746841e-07,1.698824750489804e-07,2.3250316919316315e-14,7.161212171603337e-10,-1.6760891699816047e-15
3,0.006312291497303808,2.8103292380607218e-05,2.202189748774579e-07,3.456038482115612e-07,9.510067785521877e-14,1.8278798436772155e-09,-6.8130058647761834e-15
3,0.006245453737050376,2.7820814013707888e-05,2.1511250115368501e-07,3.354811295279916e-07,8.990785637104926e-14,1.7650813560523446e-09,-6.221529044678015e-15
3,0.006161023936583502,2.6922416883614686e-05,2.0677811623389285e-07,3.2316859438340267e-07,8.332903123299249e-14,1.6728171078216829e-09,-5.937479037433473e-15
3,0.005880223456538249,2.4571513196133463e-05,1.8229889462683926e-07,2.826235561123214e-07,6.398549787319567e-14,1.3977570520674604e-09,-4.60739898945056e-15
3,0.006198354268060225,2.723705439781112e-05,1.981840334918056e-07,3.20422182002256e-07,8.058580942157418e-14,1.6679118378716413e-09,-5.075332189766713e-15
3,0.006891253601264252,3.406634357265247e-05,2.927022666398077e-07,4.5067473992905224e-07,1.6332194944601648e-13,2.6242343727622257e-09,-1.0890126056340384e-14
3,0.00632367096660305,2.768238500862463e-05,2.1937293606641577e-07,3.528565066490392e-07,9.78539167767363e-14,1.8510439327532481e-09,-7.899399512129608e-15
